,precision,recall,f1-score,support
A1,0.5238095238095238,0.7674418604651163,0.6226415094339622,43.0
A2,0.59375,0.6129032258064516,0.6031746031746031,31.0
A3,0.6666666666666666,0.2962962962962963,0.41025641025641024,27.0
A4,0.8,0.8,0.8,30.0
A5,0.6176470588235294,0.84,0.711864406779661,25.0
A6,0.8604651162790697,0.8222222222222222,0.8409090909090909,45.0
G1,0.6595744680851063,0.6739130434782609,0.6666666666666666,46.0
G2,0.6818181818181818,0.5,0.5769230769230769,30.0
G3,0.8636363636363636,0.5428571428571428,0.6666666666666666,35.0
G4,0.9117647058823529,0.7560975609756098,0.8266666666666667,41.0
L1,0.5686274509803921,0.8285714285714286,0.6744186046511628,35.0
L2,0.6666666666666666,0.6857142857142857,0.676056338028169,35.0
L3,0.696969696969697,0.6764705882352942,0.6865671641791045,34.0
L4,0.6666666666666666,0.42857142857142855,0.5217391304347826,28.0
L5,0.6923076923076923,0.6206896551724138,0.6545454545454545,29.0
L6,0.7777777777777778,0.7777777777777778,0.7777777777777778,45.0
OTHERCLASS,0.7058823529411765,0.631578947368421,0.6666666666666666,19.0
P1,0.7142857142857143,0.7843137254901961,0.7476635514018691,51.0
P2,0.53125,0.5666666666666667,0.5483870967741935,30.0
P3,0.8,0.6486486486486487,0.7164179104477612,37.0
P4,0.6764705882352942,0.6764705882352942,0.6764705882352942,34.0
P5,0.5813953488372093,0.8333333333333334,0.684931506849315,30.0
P6,0.8604651162790697,0.8604651162790697,0.8604651162790697,43.0
accuracy,0.6936488169364882,0.6936488169364882,0.6936488169364882,0.6936488169364882
macro avg,0.7007781372586152,0.6796088496593634,0.6790380871194532,803.0
weighted avg,0.7085832042834895,0.6936488169364882,0.6910241775538172,803.0
